Country-code,Major area (UN),"Region (GR)
(UN)",Sort Bureau,Bureu/operation (UNHCR),COUNTRY,Refugees,People in refugee-like situations,Total refugees and people in refugee-like situations,Of whom assisted by UNHCR,Asylum-seekers (pending cases),Returned refugees,"Internally Displaced Persons (IDPs) protected/ assisted by UNHCR, incl. people in IDP-like situations",Returned IDPs,Stateless persons,Others helped by UNHCR,Total population of concern
RUS,Europe,Eastern Europe,4,RBE,Russian Federation,"3,479",0,"3,479","3,479","1,800",70,"91,505","1,096","50,000",0,"147,950"
RWA,Africa,Central Africa and Great Lakes,1,CA-GL,Rwanda,"55,062",0,"55,062","55,062",352,"11,790",0,0,0,0,"67,204"
LCA,Latin America and the Caribbean,North America and the Caribbean,5,RBAC,Saint Lucia,0,0,0,0,1,0,0,0,0,0,1
STP,Africa,Central Africa and Great Lakes,1,CA-GL,Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0
SAU,Asia,The Middle East,3,MENA,Saudi Arabia,"240,572",0,"240,572",572,192,0,0,0,"70,000",0,"310,764"
SEN,Africa,West Africa,1,WA,Senegal,"33,193",0,"33,193","33,193","2,694",2,0,0,0,0,"35,889"
SRB,Europe,South-Eastern Europe,4,RBE,Serbia,"96,739",0,"96,739","96,738",39,858,"225,879",518,"17,050",0,"341,083"
SLE,Africa,West Africa,1,WA,Sierra Leone,"7,826",0,"7,826","7,826",329,321,0,0,0,0,"8,476"
SIN,Asia,East Asia and the Pacific,2,RBAP,Singapore,10,0,10,10,0,0,0,0,0,0,10
SVK,Europe,Central Europe and the Baltic States,4,RBE,Slovakia,317,0,317,317,307,0,0,0,911,0,"1,535"
SVN,Europe,Central Europe and the Baltic States,4,RBE,Slovenia,268,0,268,268,84,0,0,0,"4,090",0,"4,442"
SOM,Africa,East and Horn of Africa,1,EHA,Somalia,"1,842",0,"1,842","1,842","9,246","1,476","1,277,200",0,0,0,"1,289,764"
RSA,Africa,Southern Africa,1,SAO,South Africa,"43,546",0,"43,546",0,"227,125",0,0,0,0,0,"270,671"
SPA,Europe,Western Europe,4,RBE,Spain,"4,661",0,"4,661",0,0,0,0,0,26,0,"4,687"
LKA,Asia,South Asia,2,RBAP,Sri Lanka,269,0,269,269,393,"1,739","504,800","20,800",0,0,"528,001"
SUD,Africa,East and Horn of Africa,1,EHA,Sudan,"181,605",0,"181,605","88,469","5,870","90,087","1,201,040","21,081",0,0,"1,499,683"
SUR,Latin America and the Caribbean,Latin America,5,RBAC,Suriname,1,0,1,1,0,0,0,0,0,0,1
SWA,Africa,Southern Africa,1,SAO,Swaziland,775,0,775,612,445,0,0,0,0,0,"1,220"
SWE,Europe,Western Europe,4,RBE,Sweden,"77,038",0,"77,038",0,"24,099",0,0,0,"6,239",0,"107,376"
SWI,Europe,Western Europe,4,RBE,Switzerland,"46,132",0,"46,132",0,"17,163",0,0,0,75,0,"63,370"
SYR,Asia,The Middle East,3,MENA,Syrian Arab Rep.,"1,105,698",0,"1,105,698","230,041","2,243",8,0,0,"300,000",0,"1,407,949"
TJK,Asia,Central Asia,2,RBAP,Tajikistan,"1,799",0,"1,799","1,509",46,0,0,0,249,0,"2,094"
MCD,Europe,South-Eastern Europe,4,RBE,TfYR Macedonia,"1,153",519,"1,672","1,481",100,0,0,0,"1,051",0,"2,823"
THA,Asia,East Asia and the Pacific,2,RBAP,Thailand,"112,932",0,"112,932","112,932","12,578",0,0,0,"3,500,000",0,"3,625,510"
